id,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score
chera1,,,,,,,,,,,,,,,,,,,,,3.0,1112.0,195.0,0.0,True,,,,,,,,,,,,,,,,1.0,1391.0,346.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1525.0,1622.0,45.0,-8.0,,,,,,,
emil1354905,118.0,1662.0,73.0,-11.0,,398.0,2143.0,78.0,0.0,,28.0,1604.0,127.0,-32.0,True,95.0,1233.0,94.0,-5.0,,478.0,1821.0,64.0,29.0,,19.0,1490.0,132.0,-46.0,True,110.0,1558.0,70.0,33.0,,44.0,1450.0,100.0,-90.0,,302.0,1551.0,59.0,25.0,,4.0,1758.0,237.0,0.0,True,34.0,1715.0,111.0,-2.0,True,434.0,1824.0,69.0,0.0,,7.0,47.0,,,3.0,20.0
shubham6996,,,,,,282.0,1465.0,88.0,0.0,,,,,,,,,,,,139.0,1052.0,65.0,10.0,,,,,,,,,,,,,,,,,577.0,953.0,45.0,16.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,70.0,1233.0,72.0,-13.0,,,,,,,
beks3335,,,,,,102.0,1542.0,241.0,13.0,True,,,,,,,,,,,143.0,1616.0,169.0,-39.0,True,,,,,,,,,,,,,,,,1.0,1451.0,346.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,21308.0,2194.0,45.0,-23.0,,,,,,,
pebis86,,,,,,450.0,1373.0,80.0,0.0,,,,,,,,,,,,36.0,1199.0,65.0,-27.0,,1.0,1355.0,320.0,0.0,True,,,,,,,,,,,208.0,1152.0,45.0,-30.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,59.0,1441.0,54.0,-21.0,,,,,,,
lsergiosc,,,,,,97.0,1318.0,77.0,0.0,,,,,,,,,,,,75.0,894.0,47.0,-27.0,,,,,,,,,,,,,,,,,1.0,910.0,351.0,0.0,True,0.0,1500.0,500.0,0.0,True,24.0,1227.0,87.0,28.0,,0.0,1500.0,500.0,0.0,True,,,,,,
igormir,,,,,,3.0,1878.0,260.0,0.0,True,,,,,,,,,,,1517.0,1533.0,59.0,-6.0,,,,,,,,,,,,,,,,,236.0,1338.0,67.0,10.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
dewa_pentol,,,,,,,,,,,,,,,,31.0,1468.0,101.0,27.0,,192.0,2090.0,60.0,-10.0,,,,,,,,,,,,,,,,,70.0,1856.0,72.0,15.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
bkjogi80,,,,,,,,,,,,,,,,,,,,,12.0,906.0,116.0,26.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,497.0,1386.0,45.0,-41.0,,,,,,,
ferchess21,,,,,,167.0,2081.0,198.0,8.0,True,,,,,,,,,,,249.0,1450.0,62.0,-3.0,,,,,,,,,,,,,,,,,92.0,856.0,61.0,-13.0,,0.0,1500.0,500.0,0.0,True,178.0,1824.0,92.0,-7.0,,561.0,1800.0,55.0,-63.0,,,,,,,
dadrib,,,,,,3650.0,1995.0,82.0,0.0,,,,,,,9.0,1437.0,120.0,0.0,True,2974.0,1985.0,46.0,-9.0,,,,,,,,,,,,,,,,,638.0,1921.0,54.0,-13.0,,0.0,1500.0,500.0,0.0,True,4.0,1808.0,176.0,0.0,True,10.0,2247.0,116.0,0.0,True,,,,,77.0,31.0
shujinko,,,,,,184.0,2447.0,204.0,7.0,True,,,,,,1.0,1605.0,281.0,0.0,True,389.0,2308.0,59.0,26.0,,,,,,,,,,,,,,,,,978.0,2500.0,101.0,6.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
nanuknav,,,,,,58.0,1447.0,90.0,0.0,,,,,,,,,,,,610.0,1213.0,47.0,-2.0,,,,,,,,,,,,,,,,,293.0,958.0,89.0,-30.0,,0.0,1500.0,500.0,0.0,True,180.0,1362.0,109.0,24.0,,517.0,1462.0,51.0,5.0,,,,,,,
dooge46,10.0,1358.0,171.0,0.0,True,,,,,,,,,,,,,,,,2415.0,1807.0,45.0,26.0,,,,,,,,,,,,,,,,,265.0,1536.0,46.0,16.0,,0.0,1500.0,500.0,0.0,True,26.0,1940.0,100.0,-30.0,,604.0,1916.0,59.0,-28.0,,,,,,,
shark1414,,,,,,11.0,1310.0,121.0,0.0,True,,,,,,,,,,,562.0,1140.0,45.0,-18.0,,,,,,,,,,,,,,,,,18.0,992.0,99.0,-118.0,,0.0,1500.0,500.0,0.0,True,32.0,1319.0,150.0,-142.0,True,1163.0,1412.0,47.0,12.0,,,,,,,
yaofriend,,,,,,2323.0,1907.0,61.0,0.0,,,,,,,,,,,,523.0,1740.0,59.0,-10.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,92.0,38.0,,,114.0,29.0
argeu_souza,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,10.0,1170.0,170.0,0.0,True,,,,,,
lark62,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,170.0,1856.0,114.0,22.0,True,507.0,1825.0,45.0,-21.0,,,,,,,
sebastiano78,,,,,,,,,,,,,,,,,,,,,41.0,1293.0,72.0,160.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,
kishan28,1.0,1207.0,328.0,0.0,True,5703.0,1823.0,76.0,0.0,,,,,,,105.0,1302.0,161.0,-15.0,True,581.0,1574.0,69.0,33.0,,,,,,,3.0,1394.0,267.0,0.0,True,4.0,1360.0,240.0,0.0,True,4875.0,1612.0,55.0,-3.0,,0.0,1500.0,500.0,0.0,True,1.0,1424.0,398.0,0.0,True,31.0,1557.0,139.0,128.0,True,39.0,36.0,1.0,37.0,,
mouradattaque,,,,,,543.0,1852.0,110.0,0.0,True,,,,,,,,,,,2355.0,1815.0,45.0,6.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,3.0,1738.0,247.0,0.0,True,18.0,1765.0,106.0,-34.0,,,,,,,
