id,patron,language,title,nbFollowing,nbFollowers,completionRate,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score,profile_country,profile_location,profile_fideRating,playTime_total,playTime_tv
zafen,,en-GB,,1.0,3.0,87.0,,,,,,330.0,2004.0,83.0,0.0,,,,,,,,,,,,2607.0,1573.0,45.0,-7.0,,,,,,,,,,,,,,,,,331.0,1297.0,61.0,-30.0,,10.0,1606.0,177.0,0.0,True,0.0,1500.0,500.0,0.0,True,11.0,1614.0,145.0,0.0,True,,,,,,,,,,1016258.0,0.0
dja_2_dohar,,id-ID,,1.0,0.0,83.0,,,,,,27.0,1813.0,127.0,0.0,True,,,,,,,,,,,912.0,1761.0,45.0,16.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,81.0,1780.0,121.0,-46.0,True,,,,,,,,,,676025.0,0.0
secrets7469,,en-US,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1388.0,343.0,0.0,True,1.0,1364.0,320.0,0.0,True,,,,,,,,,,514.0,0.0
mohammed_hafez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mosvedrus,,ru-RU,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1330.0,301.0,0.0,True,,,,,,,,,,402.0,0.0
unknwn_za,,en-US,,1.0,2.0,90.0,,,,,,43.0,1510.0,118.0,0.0,True,,,,,,,,,,,416.0,1227.0,50.0,-12.0,,,,,,,,,,,,,,,,,24.0,1005.0,95.0,-17.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,60.0,1348.0,63.0,79.0,,,,,,,,,,,186343.0,0.0
eyeonambition,,en-US,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,3.0,1549.0,192.0,0.0,True,,,,,,,,,,1997.0,0.0
marcelosm,,pt-BR,,2.0,5.0,97.0,,,,,,,,,,,,,,,,,,,,,4.0,896.0,184.0,0.0,True,,,,,,,,,,,,,,,,1.0,1193.0,301.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1757.0,288.0,0.0,True,422.0,1337.0,45.0,3.0,,,,,,,,,,,527343.0,0.0
dulal66,,en-US,,4.0,12.0,97.0,48.0,1581.0,88.0,54.0,,,,,,,,,,,,,,,,,5442.0,2095.0,45.0,27.0,,,,,,,,,,,,,,,,,149.0,1683.0,60.0,12.0,,1.0,1741.0,402.0,0.0,True,58.0,1987.0,78.0,-20.0,,459.0,2227.0,50.0,0.0,,,,,,,,,,,3175015.0,0.0
ttzz,,ru-RU,,0.0,4.0,73.0,,,,,,,,,,,,,,,,,,,,,10114.0,2004.0,107.0,35.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,4322.0,2147.0,45.0,-20.0,,,,,,,,,,,9920022.0,0.0
dalig,,en-GB,,2.0,2.0,100.0,,,,,,2706.0,1890.0,76.0,0.0,,,,,,,,,,,,3.0,2052.0,197.0,0.0,True,,,,,,,,,,,,,,,,3.0,1061.0,203.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1755.0,1659.0,46.0,-8.0,,17.0,13.0,,,2.0,10.0,,,,1515817.0,0.0
javier_esteban_sejas,,es-ES,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,7.0,1605.0,169.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,2795.0,0.0
